Material_replace,Material,Precursor,Conjugated microporous polymer,Activation agent,Activation temperature_°C,Activation approach,BET surface area_m2/g,Total pore volume_cm3/g,CO2 uptake_mmol/g_25°C,Adsorption pressure_bar,Reference,,
0,Activated Carbon,Pomegranate peels,,KOH,700,Wet impregnation,585,0.280,4.110,1,[204],,
0,Activated Carbon,Carrot peels,,KOH,700,Wet impregnation,1379,0.580,4.180,1,[204],,
0,Activated Carbon,Fern leaves,,KOH,700,Wet impregnation,1593,0.740,4.120,1,[204],,
0,Activated Carbon,Black locust,,KOH,830,Wet impregnation,2064,0.980,3.750,1,[205],,
0,Activated Carbon,Rice husk char,,KOH,780,Wet impregnation,2965,1.140,3.710,1,[206],,
0,Activated Carbon,Longan shell,,KOH,800,Wet impregnation,3139,2.500,3.400,1,[210],,
0,Activated Carbon,Paulownia sawdust,,KOH,700,Wet impregnation,1643,0.857,5.800,1,[197],,
0,Activated Carbon,Argan hard shells,,NaOH,850,Wet impregnation,1827,0.960,3.730,1,[212],,
0,Activated Carbon,Argan hard shells,,KOH,850,Wet impregnation,2251,1.040,5.510,1,[212],,
0,Activated Carbon,Wooden chopstick,,KOH,700,Wet impregnation,,,2.630,1,[214],,
0,Activated Carbon,Polypodium vulgare,,KOH,800,Wet impregnation,1994,0.998,5.670,1,[216],,
0,Activated Carbon,Common oak leader,,KOH,700,Wet impregnation,1842,0.910,5.670,1,[217],,
0,Activated Carbon,Walnut shell,,KOH,800,Wet impregnation,1868,1.060,5.170,1,[218],,
0,Activated Carbon,Palm date seeds,,KOH,900,Wet impregnation,1906,1.060,5.440,1,[166],,
0,Activated Carbon,Palm date seeds,,KOH,900,Wet impregnation,2335,1.540,4.670,1,[166],,
0,Activated Carbon,Palm date seeds,,H3PO4,900,Wet impregnation,1439,0.600,4.400,1,[166],,
0,Activated Carbon,Palm date seeds,,H3PO5,900,Wet impregnation,1218,0.500,4.000,1,[166],,
1,Metal-organic frameworks (MOFs),Flexible microporous MOF,,,,,,,1.11,1,[372],,
1,Metal-organic frameworks (MOFs),2D MOF,,,,,340.8,,1.9,1,[390],,
1,Metal-organic frameworks (MOFs),Hydrated 6.5 wt%-Mg-MOF-74,,,,,,,6.18,1,[385],,
1,Metal-organic frameworks (MOFs),Hydrated 13 wt%-Mg-MOF-74,,,,,,,4.73,1,[385],,
1,Metal-organic frameworks (MOFs),SNU-1100,,,,,411,0.248,0.58,1,[396],,
1,Metal-organic frameworks (MOFs),Noninterpenetrated-SNU-700',,,,,5290,2.17,0.8,1,[397],,
1,Metal-organic frameworks (MOFs),Interpenetrated-SNU-710',,,,,1770,0.709,1.05,1,[397],,
1,Metal-organic frameworks (MOFs),ZNJU-43a,,,,,2243,0.8943,4.6,1,[375],,
1,Metal-organic frameworks (MOFs),UPC-105,,,,,2082,,2.37,1,[374],,
1,Metal-organic frameworks (MOFs),UPC-106,,,,,1984,,2.42,1,[374],,
1,Metal-organic frameworks (MOFs),UPC-107,,,,,1865,,2.06,1,[374],,
1,Metal-organic frameworks (MOFs),UPC-108,,,,,1837,,2.04,1,[374],,
1,Metal-organic frameworks (MOFs),UPC-109,,,,,1601,,1.08,1,[374],,
1,Metal-organic frameworks (MOFs),UPC-110,,,,,1384,,1.08,1,[374],,
1,Metal-organic frameworks (MOFs),UPC-111,,,,,1732,,1.88,1,[374],,
1,Metal-organic frameworks (MOFs),UPC-112,,,,,1559,,1.83,1,[374],,
1,Metal-organic frameworks (MOFs),pt-UiO-66(Zr)(OH)2,,,,,1230,,5.63,1,[402],,
1,Metal-organic frameworks (MOFs),ZNJU-19,,,,,2165,0.882,4.75,1,[376],,
1,Metal-organic frameworks (MOFs),ZNJU-20,,,,,2154,0.902,4.63,1,[376],,
1,Metal-organic frameworks (MOFs),SNU-77H,,,,,3670,1.52,0.89,1,[407],,
1,Metal-organic frameworks (MOFs),HCM-Cu3(BTC)2/Hierarchical porous carbon monoliths,,,,,516,0.26,2.75,1,[379],,
2,Microporous polymers,,CMP@1,,,,346,0.22,1.03,1,[447],,
2,Microporous polymers,,CMP@2,,,,325,0.6,1.47,1,[447],,
2,Microporous polymers,,CMP@3,,,,343,0.7,0.71,1,[447],,
2,Microporous polymers,,CMP,,,,772,1.21,1.61,1,[413],,
2,Microporous polymers,,Co-CMP,,,,965,2.81,1.8,1,[413],,
2,Microporous polymers,,Al-CMP,,,,798,1.41,1.74,1,[413],,
2,Microporous polymers,,ZnPe50%F-CMPs,,,,240,0.376,2.05,1,[448],,
2,Microporous polymers,,CMP-1,,,,837,0.45,1.18,1,[438],,
2,Microporous polymers,,CMP-1 COOH,,,,522,0.3,1.6,1,[438],,
2,Microporous polymers,,CMP-1-(CH3)2,,,,899,0.75,0.94,1,[438],,
2,Microporous polymers,,CMP-1-(OH)2,,,,1043,0.71,1.07,1,[438],,
2,Microporous polymers,,NCMP-2,,,,900,0.55,1.15,1,"[449,450]",,
2,Microporous polymers,,TCMP-0,,,,963,0.98,1.34,1,[450],,
2,Microporous polymers,,TNCMP-2,,,,995,0.55,1.45,1,[450],,
2,Microporous polymers,,TCMP-3,,,,961,0.36,1.26,1,[450],,
2,Microporous polymers,,TCMP-5,,,,494,0.51,1.22,1,[450],,
2,Microporous polymers,,CMP-0,,,,1018,0.56,1.21,1,[443],,
2,Microporous polymers,,CMP-3,,,,522,0.26,0.68,1,[443],,
2,Microporous polymers,,CMP-5,,,,512,0.47,0.68,1,[443],,
