Material_replace,Material,Precursor,Conjugated microporous polymer,Activation agent,Activation temperature_°C,BET surface area_m2/g,Total pore volume_cm3/g,CO2 uptake_mmol/g_25°C,Adsorption pressure_bar,Reference,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Pomegranate peels,,KOH,700,585,0.28,4.11,1,"(Serafin et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Carrot peels,,KOH,700,1379,0.58,4.18,1,"(Serafin et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Fern leaves,,KOH,700,1593,0.74,4.12,1,"(Serafin et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Black locust,,KOH,830,2064,0.98,3.75,1,"(Zhang et al., 2016)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Rice husk char,,KOH,780,2965,1.14,3.71,1,"(Li et al., 2015a)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Rice husk char,,KOH,640,774,0.41,3.53,1,"(Li et al., 2015a)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Rice husk char,,KOH,710,1041,0.53,4.16,1,"(Li et al., 2015a)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Rice husk char,,KOH,780,1199,0.48,3.87,1,"(Li et al., 2015a)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Longan shell,,KOH,800,3139,2.5,3.4,1,"(Wei et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Paulownia sawdust,,KOH,700,1643,0.857,5.8,1,"(Zhu et al., 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Argan hard shells,,NaOH,850,1827,0.96,3.73,1,"(Boujibar et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Argan hard shells,,KOH,850,2251,1.04,5.51,1,"(Boujibar et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Wooden chopstick,,KOH,700,,,2.63,1,"(Phadungbut et al., 2022)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Polypodium vulgare,,KOH,800,1994,0.998,5.67,1,"(Serafin et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Common oak leader,,KOH,700,1842,0.91,5.67,1,"(Serafin and Cruz, 2022)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Walnut shell,,KOH,800,1868,1.06,5.17,1,"(Serafin et al., 2023)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Palm date seeds,,KOH,900,1906,1.06,5.44,1,"(Alazmi et al., 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Palm date seeds,,KOH,900,2335,1.54,4.67,1,"(Alazmi et al., 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Palm date seeds,,H3PO4,900,1439,0.6,4.4,1,"(Alazmi et al., 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Palm date seeds,,H3PO5,900,1218,0.5,4,1,"(Alazmi et al., 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,600,645,0.26,3.45,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,600,740,0.3,3.65,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,700,1259,0.52,4.33,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,700,1476,0.61,4.54,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,800,1692,0.71,4.46,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,800,2337,1.15,3.78,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Pine sawdust,,KOH,700,1728.66,0.7,4.21,1,"(Gao, Su and Gao, 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Pine sawdust,,KOH,800,2279.52,0.99,3.46,1,"(Gao, Su and Gao, 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Pine sawdust,,KOH,900,2330.89,1.91,2.45,1,"(Gao, Su and Gao, 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Date,,KOH,800,2112,0.94,4.18,1,"(Li et al., 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
